Código_Produto,Classificação,Subproduto,Local,
D_SuEq_NN_BR,Açúcar,Raw Sugar,Nordeste,
D_SuEq_Rp_BR,Açúcar,Raw Sugar,Ribeirão Preto,
D_SuLnEx_Sa_BR,Açúcar,,Santos,
D_SuLxEx_Sa_BR,Açúcar,LQW Color Max 150,Santos,
D_SuOgEx_Sa_BR,Açúcar,Organic Sugar,Santos,
D_SuPr_NN_BR,Açúcar,Raw Sugar,Nordeste,
D_SuPr_NN_BR_1,Açúcar,,Nordeste,
D_SuPr_Sp_BR,Açúcar,,São Paulo,
D_SuRaPr_Ko_TH,Açúcar,Raw Sugar,Tailândia,
D_SuVhEx_Sa_BR,Açúcar,VHP,Santos,
D_SuVhEx_Sa_BR_1,Açúcar,VHP,Santos,
D_SuVhPr_Sa_BR,Açúcar,VHP,Santos,
D_SuWtPm_GB,Açúcar,White Sugar,,
GuGuPr_Mu_IN,Açúcar,Gur,,
Pr_GB_40,Açúcar,,,
SCPr_Pr_BR,Açúcar,,Paraná,
SCPr_Pr_BR_1,Açúcar,,Paraná,
SCPr_Sp_BR_1,Açúcar,,São Paulo,
SCPr_Sp_BR_2,Açúcar,,São Paulo,
SCPr_Sp_BR_3,Açúcar,,São Paulo,
SCPr_Sp_BR_4,Açúcar,,São Paulo,
SCPr_Sp_BR_5,Açúcar,,São Paulo,
SCPr_Sp_BR_6,Açúcar,,São Paulo,
SuCbPr_Sp_BR,Açúcar,Crystal Bagged Sugar,São Paulo,
SuPr_AL_BR,Açúcar,Crystal Bagged Sugar,Alagoas,
SuPr_AL_BR_1,Açúcar,Crystal Bagged Sugar,Alagoas,
SuPr_CN_42,Açúcar,,China,
SuPr_PB_BR,Açúcar,Crystal Bagged Sugar,Paraíba,
SuPr_PE_BR,Açúcar,Crystal Bagged Sugar,Pernambuco,
SuPr_Rj_BR,Açúcar,Crystal Bagged Sugar,Rio de Janeiro,
SuPr_RU_41,Açúcar,,Rússia,
SuPr_Sa_BR,Açúcar,Crystal Bagged Sugar,Santos,
SuPr_Sp_BR,Açúcar,Crystal Bagged Sugar,São Paulo,
SuPr_Sp_BR_1,Açúcar,Crystal Bagged Sugar,São Paulo,
SuPr_WW,Açúcar,,,
SuRaPr_Ac_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ag_MX,Açúcar,Raw Sugar,México,
SuRaPr_Al_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ch_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ch_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_Co_MX,Açúcar,Raw Sugar,México,
SuRaPr_Co_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_Cu_MX,Açúcar,Raw Sugar,México,
SuRaPr_Cu_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_Du_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ec_MX,Açúcar,Raw Sugar,México,
SuRaPr_Gu_MX,Açúcar,Raw Sugar,México,
SuRaPr_Gu_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_He_MX,Açúcar,Raw Sugar,México,
SuRaPr_Iz_MX,Açúcar,Raw Sugar,México,
SuRaPr_Le_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ma_MX,Açúcar,Raw Sugar,México,
SuRaPr_Me_MX,Açúcar,Raw Sugar,México,
SuRaPr_Mi_MX,Açúcar,Raw Sugar,México,
SuRaPr_Mo_MX,Açúcar,Raw Sugar,México,
SuRaPr_MX,Açúcar,Raw Sugar,México,
SuRaPr_Oa_MX,Açúcar,Raw Sugar,México,
SuRaPr_Pa_MX,Açúcar,Raw Sugar,México,
SuRaPr_Pe_MX,Açúcar,Raw Sugar,México,
SuRaPr_Po_MX,Açúcar,Raw Sugar,México,
SuRaPr_Pu_MX,Açúcar,Raw Sugar,México,
SuRaPr_Re_MX,Açúcar,Raw Sugar,México,
SuRaPr_Sa_MX,Açúcar,Raw Sugar,México,
SuRaPr_Sc_MX,Açúcar,Raw Sugar,México,
SuRaPr_Sl_MX,Açúcar,Raw Sugar,México,
SuRaPr_Sp_BR,Açúcar,Crystal Bagged Sugar,México,
SuRaPr_Sq_MX,Açúcar,Raw Sugar,México,
SuRaPr_Te_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ti_MX,Açúcar,Raw Sugar,México,
SuRaPr_Ti_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_To_MX,Açúcar,Raw Sugar,México,
SuRaPr_To_MX_1,Açúcar,Raw Sugar,México,
SuRaPr_Tu_MX,Açúcar,Raw Sugar,México,
SuRaPr_Vi_MX,Açúcar,Raw Sugar,México,
SuRaPr_Xa_MX,Açúcar,Raw Sugar,México,
SuRaPr_Za_MX,Açúcar,Raw Sugar,México,
SuSmPr_Dl_IN,Açúcar,Sugar M Grade,Índia,
SuSmPr_Ka_IN,Açúcar,Sugar M Grade,Índia,
SuSmPr_Ko_IN,Açúcar,Sugar M Grade,Índia,
SuSmPr_Ko_IN_1,Açúcar,Sugar M Grade,Índia,
SuSmPr_Mu_IN,Açúcar,Sugar M Grade,Índia,
SuSsPr_Ko_IN,Açúcar,Sugar S Grade,Índia,
SuVHP_SP_BR,Açúcar,Crystal Bagged Sugar,São Paulo,
SuW_SP_BR,Açúcar,Crystal Bagged Sugar,São Paulo,
SuWtPr_Ac_MX,Açúcar,White Sugar,México,
SuWtPr_Ag_MX,Açúcar,White Sugar,México,
SuWtPr_Al_MX,Açúcar,White Sugar,México,
SuWtPr_Ch_MX,Açúcar,White Sugar,México,
SuWtPr_Cu_MX,Açúcar,White Sugar,México,
SuWtPr_Du_MX,Açúcar,White Sugar,México,
SuWtPr_Ec_MX,Açúcar,White Sugar,México,
SuWtPr_Gu_MX,Açúcar,White Sugar,México,
SuWtPr_Gu_MX_1,Açúcar,White Sugar,México,
SuWtPr_Iz_MX,Açúcar,White Sugar,México,
SuWtPr_Me_MX,Açúcar,White Sugar,México,
SuWtPr_Mo_MX,Açúcar,White Sugar,México,
SuWtPr_MX,Açúcar,White Sugar,México,
SuWtPr_Pu_MX,Açúcar,White Sugar,México,
SuWtPr_Re_MX,Açúcar,White Sugar,México,
SuWtPr_Sa_MX,Açúcar,White Sugar,México,
SuWtPr_Sc_MX,Açúcar,White Sugar,México,
SuWtPr_Te_MX,Açúcar,White Sugar,México,
SuWtPr_Ti_MX,Açúcar,White Sugar,México,
SuWtPr_Ti_MX_1,Açúcar,White Sugar,México,
SuWtPr_To_MX,Açúcar,White Sugar,México,
SuWtPr_To_MX_1,Açúcar,White Sugar,México,
SuWtPr_Tu_MX,Açúcar,White Sugar,México,
TRPr_AL_BR,Açúcar,,Alagoas,
TRPr_AL_BR_1,Açúcar,,Alagoas,
TRPr_PB_BR,Açúcar,,Paraíba,
TRPr_PB_BR_1,Açúcar,,Paraíba,
TRPr_PE_BR,Açúcar,,Pernambuco,
TRPr_PE_BR_1,Açúcar,,Pernambuco,
TRPr_Pr_BR,Açúcar,,Paraná,
TRPr_Pr_BR_1,Açúcar,,Paraná,
TRPr_Sp_BR,Açúcar,,São Paulo,
TRPr_Sp_BR_1,Açúcar,,São Paulo,
CTPR_SD,Algodão,Cottonseed,,
CTPR_SDOI,Algodão,Cottonseed Oil,,
CTPR_SDOI_ME28,Algodão,Cottonseed,,
CTPR_SDOI_ME38,Algodão,Cottonseed,,
CTPR_SDOI_SR,Algodão,Cottonseed Oil,,
CtPr_Sp_BR,Algodão,,São Paulo,
D_CSPR_ARU_BR,Algodão,Cottonseed,Araçatuba,
D_CSPR_CHS_BR,Algodão,Cottonseed,Chapadão Do Sul,
D_CSPR_CNP_BR,Algodão,Cottonseed,Campo Novo Do Parecis,
D_CSPR_JTI_BR,Algodão,Cottonseed,Jataí,
D_CSPR_LEM_BR,Algodão,Cottonseed,Luiz Eduardo Magalhães,
D_CSPR_PRL_BR,Algodão,Cottonseed,Primavera Do Leste,
D_CSPR_ROO_BR,Algodão,Cottonseed,Rondonópolis,
D_CSPR_SMT_BR,Algodão,Cottonseed,Sorriso,
D_CSPR_SP_BR,Algodão,Cottonseed,São Paulo,
D_CSPR_SPZ_BR,Algodão,Cottonseed,Sapezal,
D_CSPR_UDI_BR,Algodão,Cottonseed,Uberlândia,
D_CTPR_ARU_BR,Algodão,Cotton,Araçatuba,
D_CTPR_CHS_BR,Algodão,Cotton,Chapadão Do Sul,
D_CTPR_CNP_BR,Algodão,Cotton,Campo Novo Do Parecis,
D_CTPR_JTI_BR,Algodão,Cotton,Jataí,
D_CTPR_LEM_BR,Algodão,Cotton,Luiz Eduardo Magalhães,
D_CTPR_PRL_BR,Algodão,Cotton,Primavera Do Leste,
D_CTPR_ROO_BR,Algodão,Cotton,Rondonópolis,
D_CTPR_SMT_BR,Algodão,Cotton,Sorriso,
D_CTPR_SP_BR,Algodão,Cotton,São Paulo,
D_CTPR_SPZ_BR,Algodão,Cotton,Sapezal,
D_CTPR_UDI_BR,Algodão,Cotton,Uberlândia,
RiDe_WW,Arroz,Rice,,
RiES_WW,Arroz,Rice,,
RiPd_WW,Arroz,Rice,,
RiPdPr_Rs_BR,Arroz,Rice,Rio Grande do Sul,
RIPR_BR,Arroz,Broken Rice,,
RIPR_ME,Arroz,Rice Bran,,
RIPR_ME_NONFT,Arroz,Rice Bran,,
RIPR_OI,Arroz,Rice Oil,,
RIPR_OICR,Arroz,Rice Oil,,
RiPr_TH,Arroz,Rice,Tailândia,
RiPr_WW,Arroz,Rice,,
SbPr_AR,Arroz,Soybean Grain,Argentina,
BDPR_AB,Biodiesel,Biodiesel,,
D_BdD4As_US_2018,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2019,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2020,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2021,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2022,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4As_US_2023,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2018,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2019,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2020,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2021,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2022,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Bi_US_2023,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2018,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2019,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2020,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2021,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2022,Biodiesel,Biodiesel Rin D4,EUA,
D_BdD4Pr_US_2023,Biodiesel,Biodiesel Rin D4,EUA,
CfArPr_Sp_BR,Café,,São Paulo,
CfBaPr_EU,Café,Brazilian Natural Arabica,Europa,
CfBaPr_US,Café,Brazilian Natural Arabica,EUA,
