CO_NCM,NO_NCM_POR,CO_ISIC_SECAO,NO_ISIC_SECAO,CO_CUCI_GRUPO,NO_CUCI_GRUPO
1011010,Cavalos reprodutores de raça pura,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1011090,"Animais da espécie asinina/muar, reprodutores, raça pura",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1011100,"Cavalos reprodutores, de raça pura",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1011900,"Outros cavalos, vivos",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1012000,Asininos e muares vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1012100,Cavalos reprodutores de raça pura,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1012900,"Cavalos, exceto reprodutores de raça pura",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1013000,"Animais espécie asinina/muar, reprodutores de raça pura",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1019000,"Animais espécie asinina/muar, exceto reprodutores de raça pura",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1019010,"Cavalos vivos, exceto reprodutores raça pura",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1019090,"Animais espécie asinina/muar, exceto reprodutores de raça pura pura",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1021010,"Bovinos reprodutores de raça pura, prenhe ou cria ao pé",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1021090,Outros bovinos reprodutores de raça pura,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1022110,"Bovinos reprodutores raça pura, prenhe ou com cria ao pé",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1022190,Outros bovinos reprodutores de raça pura,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1022911,"Outros bovinos para reprodução, prenhe ou com cria ao pé",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1022919,Outros bovinos para reprodução,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1022990,Outros bovinos vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1023110,"Búfalos reprodutores de raça pura, prenhe ou com cria ao pé",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1023190,Outros búfalos reprodutores de raça pura,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1023911,"Outros búfalos para reprodução, exceto raça pura, prenhe ou com cria ao pé",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1023919,"Outros búfalos para reprodução, exceto reprodutores de raça pura",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1023990,Outros búfalos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1029000,Outros animais vivos da espécie bovina,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1029011,"Outros bovinos para reprodução, prenhe ou com cria ao pé",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1029019,Outros bovinos para reprodução,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1029090,Outros bovinos vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1031000,Suínos reprodutores de raça pura,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1039100,"Outros suínos vivos, de peso inferior a 50 kg",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1039200,"Outros suínos vivos, de peso igual ou superior a 50kg",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1041011,"Ovinos reprodutores de raça pura, prenhe/com cria ao pé",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1041019,Outros ovinos reprodutores de raça pura,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1041090,Outros ovinos vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1042010,Caprinos reprodutores de raça pura,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1042090,Outros caprinos vivos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1051110,"Galos e galinhas, peso <= 185 g, de linha pura/híbrida, para reprodução",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1051190,"Outros galos e galinhas, vivos, peso não superior a 185g",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1051200,"Peruas e perus, vivos, de peso não superior a 185g",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1051300,Patos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1051400,Gansos,A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1051500,Galinhas-d'angola (pintadas),A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
1051900,"Patos, gansos e galinhas d'angola, vivos, de peso <= 185g",A,Agropecuária,001,"Animais vivos, não incluído pescados ou crustáceos"
