CO_NCM,NO_NCM_POR,CO_SIIT,NO_SIIT
1011010,Cavalos reprodutores de raça pura,9000,PRODUTOS N.C.I.T
1011090,"Animais da espécie asinina/muar, reprodutores, raça pura",9000,PRODUTOS N.C.I.T
1011100,"Cavalos reprodutores, de raça pura",9000,PRODUTOS N.C.I.T
1011900,"Outros cavalos, vivos",9000,PRODUTOS N.C.I.T
1012000,Asininos e muares vivos,9000,PRODUTOS N.C.I.T
1012100,Cavalos reprodutores de raça pura,9000,PRODUTOS N.C.I.T
1012900,"Cavalos, exceto reprodutores de raça pura",9000,PRODUTOS N.C.I.T
1013000,"Animais espécie asinina/muar, reprodutores de raça pura",9000,PRODUTOS N.C.I.T
1019000,"Animais espécie asinina/muar, exceto reprodutores de raça pura",9000,PRODUTOS N.C.I.T
1019010,"Cavalos vivos, exceto reprodutores raça pura",9000,PRODUTOS N.C.I.T
1019090,"Animais espécie asinina/muar, exceto reprodutores de raça pura pura",9000,PRODUTOS N.C.I.T
1021010,"Bovinos reprodutores de raça pura, prenhe ou cria ao pé",9000,PRODUTOS N.C.I.T
1021090,Outros bovinos reprodutores de raça pura,9000,PRODUTOS N.C.I.T
1022110,"Bovinos reprodutores raça pura, prenhe ou com cria ao pé",9000,PRODUTOS N.C.I.T
1022190,Outros bovinos reprodutores de raça pura,9000,PRODUTOS N.C.I.T
1022911,"Outros bovinos para reprodução, prenhe ou com cria ao pé",9000,PRODUTOS N.C.I.T
1022919,Outros bovinos para reprodução,9000,PRODUTOS N.C.I.T
1022990,Outros bovinos vivos,9000,PRODUTOS N.C.I.T
1023110,"Búfalos reprodutores de raça pura, prenhe ou com cria ao pé",9000,PRODUTOS N.C.I.T
1023190,Outros búfalos reprodutores de raça pura,9000,PRODUTOS N.C.I.T
1023911,"Outros búfalos para reprodução, exceto raça pura, prenhe ou com cria ao pé",9000,PRODUTOS N.C.I.T
1023919,"Outros búfalos para reprodução, exceto reprodutores de raça pura",9000,PRODUTOS N.C.I.T
1023990,Outros búfalos,9000,PRODUTOS N.C.I.T
1029000,Outros animais vivos da espécie bovina,9000,PRODUTOS N.C.I.T
1029011,"Outros bovinos para reprodução, prenhe ou com cria ao pé",9000,PRODUTOS N.C.I.T
1029019,Outros bovinos para reprodução,9000,PRODUTOS N.C.I.T
1029090,Outros bovinos vivos,9000,PRODUTOS N.C.I.T
1031000,Suínos reprodutores de raça pura,9000,PRODUTOS N.C.I.T
1039100,"Outros suínos vivos, de peso inferior a 50 kg",9000,PRODUTOS N.C.I.T
1039200,"Outros suínos vivos, de peso igual ou superior a 50kg",9000,PRODUTOS N.C.I.T
1041011,"Ovinos reprodutores de raça pura, prenhe/com cria ao pé",9000,PRODUTOS N.C.I.T
1041019,Outros ovinos reprodutores de raça pura,9000,PRODUTOS N.C.I.T
1041090,Outros ovinos vivos,9000,PRODUTOS N.C.I.T
1042010,Caprinos reprodutores de raça pura,9000,PRODUTOS N.C.I.T
1042090,Outros caprinos vivos,9000,PRODUTOS N.C.I.T
1051110,"Galos e galinhas, peso <= 185 g, de linha pura/híbrida, para reprodução",9000,PRODUTOS N.C.I.T
1051190,"Outros galos e galinhas, vivos, peso não superior a 185g",9000,PRODUTOS N.C.I.T
1051200,"Peruas e perus, vivos, de peso não superior a 185g",9000,PRODUTOS N.C.I.T
1051300,Patos,9000,PRODUTOS N.C.I.T
1051400,Gansos,9000,PRODUTOS N.C.I.T
1051500,Galinhas-d'angola (pintadas),9000,PRODUTOS N.C.I.T
1051900,"Patos, gansos e galinhas d'angola, vivos, de peso <= 185g",9000,PRODUTOS N.C.I.T
1059200,"Outros galos e galinhas, vivos, de peso <= 2.000 g",9000,PRODUTOS N.C.I.T
1059300,"Galos e galinhas, vivos, de peso superior a 2.000 g",9000,PRODUTOS N.C.I.T
1059400,"Outros galos e galinhas, vivos, de peso <= 2.000 g",9000,PRODUTOS N.C.I.T
1059900,"Patos, gansos, perus, peruas e pintadas, vivos, de peso >185 g",9000,PRODUTOS N.C.I.T
1060000,Outros animais vivos,9000,PRODUTOS N.C.I.T
1060010,Avestruzes (Struthio camelus) para reprodução,9000,PRODUTOS N.C.I.T
1060090,Outros animais vivos,9000,PRODUTOS N.C.I.T
1061100,"Mamíferos primatas, vivos",9000,PRODUTOS N.C.I.T
1061200,"Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)",9000,PRODUTOS N.C.I.T
1061300,"Camelos e outros camelídeos (Camelidae), vivos",9000,PRODUTOS N.C.I.T
1061400,"Coelhos e lebres, vivos",9000,PRODUTOS N.C.I.T
1061900,Outros mamíferos vivos,9000,PRODUTOS N.C.I.T
1062000,Répteis (incluindo as serpentes e as tartarugas marinhas),9000,PRODUTOS N.C.I.T
1063100,Aves de rapina,9000,PRODUTOS N.C.I.T
1063200,"Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas)",9000,PRODUTOS N.C.I.T
1063310,"Avestruzes (Struthio camelus), para reprodução",9000,PRODUTOS N.C.I.T
1063390,Outros avestruzes,9000,PRODUTOS N.C.I.T
1063900,Outras aves vivas,9000,PRODUTOS N.C.I.T
1063910,Avestruzes para reprodução,9000,PRODUTOS N.C.I.T
1063990,Outras aves vivas,9000,PRODUTOS N.C.I.T
1064100,Abelhas,9000,PRODUTOS N.C.I.T
1064900,Outros insetos,9000,PRODUTOS N.C.I.T
1069000,Outros animais vivos,9000,PRODUTOS N.C.I.T
2011000,"Carcaças e meias carcaças de bovino, frescas ou refrigeradas",4000,PRODUTOS DA INDUSTRIA DE TRANSFORMAÇÃO DE BAIXA TECNOLOGIA
2012010,"Quartos dianteiros não desossadados de bovino, frescos/refrigerados",4000,PRODUTOS DA INDUSTRIA DE TRANSFORMAÇÃO DE BAIXA TECNOLOGIA
2012020,"Quartos traseiros não desossados de bovino, frescos/refrigados",4000,PRODUTOS DA INDUSTRIA DE TRANSFORMAÇÃO DE BAIXA TECNOLOGIA
2012090,"Outras peças não desossadas de bovino, frescas ou refrigeradas",4000,PRODUTOS DA INDUSTRIA DE TRANSFORMAÇÃO DE BAIXA TECNOLOGIA
