CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO,NO_NCM_POR,SG_UNID,NO_PAIS,NO_UF,NO_REGIAO,NO_VIA,NO_URF
2013,4,10019900,10,63,SP,1,817800,136995720,136995720,49700327,3037075,20190,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2013,3,10019900,10,63,BA,1,517600,68012372,68012372,23330363,1644369,30669,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Bahia,REGIAO NORDESTE,MARITIMA,0517600 - PORTO DE SALVADOR
2013,9,10059010,10,586,SC,7,910600,29350372,29350372,3873548,385647,1881,"Milho em grão, exceto para semeadura",KGL  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2013,8,11010010,10,386,PR,1,927800,3240,3240,4308,730,0,Farinha de trigo,KGL  ,Itália,Paraná,REGIAO SUL,MARITIMA,0927800 - ITAJAI
2013,12,11010010,10,845,SP,7,1010252,280000,280000,134400,2800,0,Farinha de trigo,KGL  ,Uruguai,São Paulo,REGIAO SUDESTE,RODOVIARIA,1010252 - JAGUARAO
2013,2,10019900,10,63,CE,1,317600,86654450,86654450,28558713,2207271,69589,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Ceará,REGIAO NORDESTE,MARITIMA,0317600 - PORTO DE FORTALEZA
2013,10,10059010,10,586,SC,7,910600,44215530,44215530,5176276,488073,2186,"Milho em grão, exceto para semeadura",KGL  ,Paraguai,Santa Catarina,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2013,3,11010010,10,586,PR,7,910600,1179860,1179860,656982,29554,0,Farinha de trigo,KGL  ,Paraguai,Paraná,REGIAO SUL,RODOVIARIA,0910600 - FOZ DO IGUACU
2013,1,11010010,10,63,PE,1,417800,230000,230000,98639,10950,0,Farinha de trigo,KGL  ,Argentina,Pernambuco,REGIAO NORDESTE,MARITIMA,0417800 - PORTO DE SUAPE
2013,8,10059010,10,586,PR,7,910652,28500000,28500000,3755000,229700,2660,"Milho em grão, exceto para semeadura",KGL  ,Paraguai,Paraná,REGIAO SUL,RODOVIARIA,0910652 - SANTA HELENA
2013,2,10059010,10,586,PR,7,910651,7500000,7500000,1469000,59000,0,"Milho em grão, exceto para semeadura",KGL  ,Paraguai,Paraná,REGIAO SUL,RODOVIARIA,0910651 - GUAIRA
2013,5,10019900,10,249,CE,1,317600,80800000,80800000,26697973,1893475,41242,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Ceará,REGIAO NORDESTE,MARITIMA,0317600 - PORTO DE FORTALEZA
2013,7,11010010,10,586,SP,7,910600,707500,707500,394814,16142,0,Farinha de trigo,KGL  ,Paraguai,São Paulo,REGIAO SUDESTE,RODOVIARIA,0910600 - FOZ DO IGUACU
2013,6,10019900,10,249,CE,1,317600,47550000,47550000,15357788,1176450,11846,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Ceará,REGIAO NORDESTE,MARITIMA,0317600 - PORTO DE FORTALEZA
2013,1,11010020,10,275,SP,1,817800,425,425,1813,140,0,Farinha de mistura de trigo com centeio (méteil),KGL  ,França,São Paulo,REGIAO SUDESTE,MARITIMA,0817800 - PORTO DE SANTOS
2013,3,10019900,10,586,SC,1,925251,14674750,14674750,4827993,311334,0,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Paraguai,Santa Catarina,REGIAO SUL,MARITIMA,0925251 - IMBITUBA
2013,7,10019900,10,63,PR,1,927700,10079190,10079190,3345517,251980,2651,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Argentina,Paraná,REGIAO SUL,MARITIMA,0927700 - PORTO DE SAO FRANCISCO DO SUL
2013,6,10019900,10,249,AM,1,227600,14500000,14500000,4818205,688025,8700,"Outros trigos e misturas de trigo com centeio, exceto para semeadura",KGL  ,Estados Unidos,Amazonas,REGIAO NORTE,MARITIMA,0227600 - PORTO DE MANAUS
