Country,MarketYear,CalendarYear,Month,Attribute,Value,CommodityCode
Afghanistan,2023,2024,02,Area Harvested,2350.0,0410000
Afghanistan,2023,2024,02,Beginning Stocks,536.0,0410000
Afghanistan,2023,2024,02,Production,5170.0,0410000
Afghanistan,2023,2024,02,MY Imports,3900.0,0410000
Afghanistan,2023,2024,02,TY Imports,3900.0,0410000
Afghanistan,2023,2024,02,TY Imp. from U.S.,0.0,0410000
Afghanistan,2023,2024,02,Total Supply,9606.0,0410000
Afghanistan,2023,2024,02,MY Exports,0.0,0410000
Afghanistan,2023,2024,02,TY Exports,0.0,0410000
Afghanistan,2023,2024,02,Feed and Residual,600.0,0410000
Afghanistan,2023,2024,02,FSI Consumption,8200.0,0410000
Afghanistan,2023,2024,02,Total Consumption,8800.0,0410000
Afghanistan,2023,2024,02,Ending Stocks,806.0,0410000
Afghanistan,2023,2024,02,Total Distribution,9606.0,0410000
Afghanistan,2023,2024,02,Yield,2.2,0410000
Algeria,2023,2024,02,Area Harvested,1800.0,0410000
Algeria,2023,2024,02,Beginning Stocks,4408.0,0410000
Algeria,2023,2024,02,Production,2700.0,0410000
Algeria,2023,2024,02,MY Imports,8300.0,0410000
Algeria,2023,2024,02,TY Imports,8300.0,0410000
Algeria,2023,2024,02,TY Imp. from U.S.,0.0,0410000
Algeria,2023,2024,02,Total Supply,15408.0,0410000
Algeria,2023,2024,02,MY Exports,5.0,0410000
Algeria,2023,2024,02,TY Exports,5.0,0410000
Algeria,2023,2024,02,Feed and Residual,50.0,0410000
Algeria,2023,2024,02,FSI Consumption,11500.0,0410000
Algeria,2023,2024,02,Total Consumption,11550.0,0410000
Algeria,2023,2024,02,Ending Stocks,3853.0,0410000
Algeria,2023,2024,02,Total Distribution,15408.0,0410000
Algeria,2023,2024,02,Yield,1.5,0410000
Azerbaijan,2023,2024,02,Area Harvested,620.0,0410000
Azerbaijan,2023,2024,02,Beginning Stocks,285.0,0410000
Azerbaijan,2023,2024,02,Production,2000.0,0410000
Azerbaijan,2023,2024,02,MY Imports,1500.0,0410000
Azerbaijan,2023,2024,02,TY Imports,1500.0,0410000
Azerbaijan,2023,2024,02,TY Imp. from U.S.,0.0,0410000
Azerbaijan,2023,2024,02,Total Supply,3785.0,0410000
Azerbaijan,2023,2024,02,MY Exports,0.0,0410000
Azerbaijan,2023,2024,02,TY Exports,0.0,0410000
Azerbaijan,2023,2024,02,Feed and Residual,300.0,0410000
Azerbaijan,2023,2024,02,FSI Consumption,3100.0,0410000
Azerbaijan,2023,2024,02,Total Consumption,3400.0,0410000
Azerbaijan,2023,2024,02,Ending Stocks,385.0,0410000
Azerbaijan,2023,2024,02,Total Distribution,3785.0,0410000
Azerbaijan,2023,2024,02,Yield,3.2258,0410000
Albania,2023,2024,02,Area Harvested,55.0,0410000
Albania,2023,2024,02,Beginning Stocks,42.0,0410000
Albania,2023,2024,02,Production,225.0,0410000
Albania,2023,2024,02,MY Imports,240.0,0410000
Albania,2023,2024,02,TY Imports,240.0,0410000
Albania,2023,2024,02,TY Imp. from U.S.,0.0,0410000
Albania,2023,2024,02,Total Supply,507.0,0410000
Albania,2023,2024,02,MY Exports,0.0,0410000
Albania,2023,2024,02,TY Exports,0.0,0410000
