Country;CommodityCode;Grandeza;CÓDIGO DATAGRO
Afghanistan;410000;AreaHarvested;WHT_AF
Afghanistan;440000;AreaHarvested;COR_AF
Albania;410000;AreaHarvested;WHT_AL
Albania;440000;AreaHarvested;COR_AL
Algeria;440000;AreaHarvested;COR_DZ
Algeria;440000;AreaHarvested;COR_DZ
Angola;410000;AreaHarvested;WHT_AO
Angola;410000;AreaHarvested;WHT_AO
Angola;4243000;AreaHarvested;PAO_AO
Argentina;410000;AreaHarvested;WHT_AR
Argentina;440000;AreaHarvested;COR_AR
Argentina;2221000;AreaHarvested;PNS_AR
Argentina;2222000;AreaHarvested;SBS_AR
Argentina;2224000;AreaHarvested;SFS_AR
Argentina;2226000;AreaHarvested;RPS_AR
Armenia;410000;AreaHarvested;WHT_AM
Australia;410000;AreaHarvested;WHT_AU
Australia;440000;AreaHarvested;COR_AU
Australia;2221000;AreaHarvested;PNS_AU
Australia;2222000;AreaHarvested;SBS_AU
Australia;2224000;AreaHarvested;SFS_AU
Australia;2226000;AreaHarvested;RPS_AU
Australia;4235000;AreaHarvested;OLO_AU
Azerbaijan;410000;AreaHarvested;WHT_AZ
Azerbaijan;440000;AreaHarvested;COR_AZ
Bangladesh;410000;AreaHarvested;WHT_BD
Bangladesh;440000;AreaHarvested;COR_BD
Bangladesh;2221000;AreaHarvested;PNS_BD
Bangladesh;2222000;AreaHarvested;SBS_BD
Bangladesh;2226000;AreaHarvested;RPS_BD
Belarus;410000;AreaHarvested;WHT_BY
Belarus;440000;AreaHarvested;COR_BY
Belarus;2226000;AreaHarvested;RPS_BY
Benin;440000;AreaHarvested;COR_BJ
Benin;2221000;AreaHarvested;PNS_BJ
Benin;2222000;AreaHarvested;SBS_BJ
Benin;2232000;AreaHarvested;PKS_BJ
Benin;4243000;AreaHarvested;PAO_BJ
Bhutan;410000;AreaHarvested;WHT_BT
Bhutan;440000;AreaHarvested;COR_BT
Bolivia;410000;AreaHarvested;WHT_BO
Bolivia;440000;AreaHarvested;COR_BO
Bolivia;2222000;AreaHarvested;SBS_BO
Bolivia;2224000;AreaHarvested;SFS_BO
Bosnia and Herzegovina;410000;AreaHarvested;WHT_BA
Bosnia and Herzegovina;440000;AreaHarvested;COR_BA
Bosnia and Herzegovina;2222000;AreaHarvested;SBS_BA
Bosnia and Herzegovina;2224000;AreaHarvested;SFS_BA
Botswana;440000;AreaHarvested;COR_BW
Brazil;410000;AreaHarvested;WHT_BR
Brazil;440000;AreaHarvested;COR_BR
Brazil;2221000;AreaHarvested;PNS_BR
Brazil;2222000;AreaHarvested;SBS_BR
Brazil;2224000;AreaHarvested;SFS_BR
Brazil;2232000;AreaHarvested;PKS_BR
Brazil;4243000;AreaHarvested;PAO_BR
Burkina Faso;440000;AreaHarvested;COR_BF
Burkina Faso;2221000;AreaHarvested;PNS_BF
Burma;410000;AreaHarvested;WHT_MM
Burma;440000;AreaHarvested;COR_MM
Burma;2221000;AreaHarvested;PNS_MM
Burma;2222000;AreaHarvested;SBS_MM
Burma;2224000;AreaHarvested;SFS_MM
Burundi;440000;AreaHarvested;COR_BI
Cabo Verde;440000;AreaHarvested;COR_CV
Cambodia;440000;AreaHarvested;COR_KH
Cameroon;440000;AreaHarvested;COR_CM
Cameroon;2221000;AreaHarvested;PNS_CM
Cameroon;2232000;AreaHarvested;PKS_CM
Cameroon;4243000;AreaHarvested;PAO_CM
Canada;410000;AreaHarvested;WHT_CA
Canada;440000;AreaHarvested;COR_CA
Canada;2222000;AreaHarvested;SBS_CA
Canada;2224000;AreaHarvested;SFS_CA
Canada;2226000;AreaHarvested;RPS_CA
Central African Republic;440000;AreaHarvested;COR_CF
Central African Republic;2221000;AreaHarvested;PNS_CF
Chad;410000;AreaHarvested;WHT_TD
Chad;440000;AreaHarvested;COR_TD
Chad;2221000;AreaHarvested;PNS_TD
Chile;410000;AreaHarvested;WHT_CL
Chile;440000;AreaHarvested;COR_CL
Chile;2224000;AreaHarvested;SFS_CL
Chile;2226000;AreaHarvested;RPS_CL
China;410000;AreaHarvested;WHT_CN
China;440000;AreaHarvested;COR_CN
China;2221000;AreaHarvested;PNS_CN
China;2222000;AreaHarvested;SBS_CN
China;2224000;AreaHarvested;SFS_CN
China;2226000;AreaHarvested;RPS_CN
China;4235000;AreaHarvested;OLO_CN
Colombia;410000;AreaHarvested;WHT_CO
Colombia;440000;AreaHarvested;COR_CO
Colombia;2222000;AreaHarvested;SBS_CO
Colombia;2232000;AreaHarvested;PKS_CO
Colombia;4243000;AreaHarvested;PAO_CO
Comoros;2231000;AreaHarvested;CPO_KM
Congo (Brazzaville);440000;AreaHarvested;COR_CD
Congo (Kinshasa);410000;AreaHarvested;WHT_CG
Congo (Kinshasa);440000;AreaHarvested;COR_CG
Congo (Kinshasa);2221000;AreaHarvested;PNS_CG
Congo (Kinshasa);2232000;AreaHarvested;PKS_CG
Congo (Kinshasa);4243000;AreaHarvested;PAO_CG
Costa Rica;440000;AreaHarvested;COR_CR
Costa Rica;2232000;AreaHarvested;PKS_CR
Costa Rica;4243000;AreaHarvested;PAO_CR
Cote d'Ivoire;440000;AreaHarvested;COR_CI
Cote d'Ivoire;2221000;AreaHarvested;PNS_CI
Cote d'Ivoire;2231000;AreaHarvested;CPO_CI
Cote d'Ivoire;2232000;AreaHarvested;PKS_CI
Cote d'Ivoire;4243000;AreaHarvested;PAO_CI
Cuba;440000;AreaHarvested;COR_CU
Dominican Republic;440000;AreaHarvested;COR_DO
Dominican Republic;2232000;AreaHarvested;PKS_DO
Dominican Republic;4243000;AreaHarvested;PAO_DO
Ecuador;410000;AreaHarvested;WHT_EC
Ecuador;440000;AreaHarvested;COR_EC
Ecuador;2222000;AreaHarvested;SBS_EC
Ecuador;2232000;AreaHarvested;PKS_EC
Ecuador;4243000;AreaHarvested;PAO_EC
Egypt;410000;AreaHarvested;WHT_EG
Egypt;440000;AreaHarvested;COR_EG
Egypt;2221000;AreaHarvested;PNS_EG
Egypt;2222000;AreaHarvested;SBS_EG
Egypt;2224000;AreaHarvested;SFS_EG
