Country;CommodityCode;Attribute
Afghanistan;410000.0;AreaHarvested
Afghanistan;440000.0;AreaHarvested
Albania;410000.0;AreaHarvested
Albania;440000.0;AreaHarvested
Algeria;410000.0;AreaHarvested
Algeria;440000.0;AreaHarvested
Angola;410000.0;AreaHarvested
Angola;440000.0;AreaHarvested
Angola;4243000.0;AreaHarvested
Argentina;410000.0;AreaHarvested
Argentina;440000.0;AreaHarvested
Argentina;2221000.0;AreaHarvested
Argentina;2222000.0;AreaHarvested
Argentina;2224000.0;AreaHarvested
Argentina;2226000.0;AreaHarvested
Armenia;410000.0;AreaHarvested
Australia;410000.0;AreaHarvested
Australia;440000.0;AreaHarvested
Australia;2221000.0;AreaHarvested
Australia;2222000.0;AreaHarvested
Australia;2224000.0;AreaHarvested
Australia;2226000.0;AreaHarvested
Australia;4235000.0;AreaHarvested
Azerbaijan;410000.0;AreaHarvested
Azerbaijan;440000.0;AreaHarvested
Bangladesh;410000.0;AreaHarvested
Bangladesh;440000.0;AreaHarvested
Bangladesh;2221000.0;AreaHarvested
Bangladesh;2222000.0;AreaHarvested
Bangladesh;2226000.0;AreaHarvested
Belarus;410000.0;AreaHarvested
Belarus;440000.0;AreaHarvested
Belarus;2226000.0;AreaHarvested
Benin;440000.0;AreaHarvested
Benin;2221000.0;AreaHarvested
Benin;2222000.0;AreaHarvested
Benin;2232000.0;AreaHarvested
Benin;4243000.0;AreaHarvested
Bhutan;410000.0;AreaHarvested
Bhutan;440000.0;AreaHarvested
Bolivia;410000.0;AreaHarvested
Bolivia;440000.0;AreaHarvested
Bolivia;2222000.0;AreaHarvested
Bolivia;2224000.0;AreaHarvested
Bosnia and Herzegovina;410000.0;AreaHarvested
Bosnia and Herzegovina;440000.0;AreaHarvested
Bosnia and Herzegovina;2222000.0;AreaHarvested
Bosnia and Herzegovina;2224000.0;AreaHarvested
Botswana;440000.0;AreaHarvested
Brazil;410000.0;AreaHarvested
Brazil;440000.0;AreaHarvested
Brazil;2221000.0;AreaHarvested
Brazil;2222000.0;AreaHarvested
Brazil;2224000.0;AreaHarvested
Brazil;2232000.0;AreaHarvested
Brazil;4243000.0;AreaHarvested
Burkina Faso;440000.0;AreaHarvested
Burkina Faso;2221000.0;AreaHarvested
Burma;410000.0;AreaHarvested
Burma;440000.0;AreaHarvested
Burma;2221000.0;AreaHarvested
Burma;2222000.0;AreaHarvested
Burma;2224000.0;AreaHarvested
