id,Código_Produto,Classificação,Subproduto,Local,Fetch_Status,bolsa,roda,fonte,tav,subtav,decimais,correlatos,empresa,contrato,subproduto_id,entcode,nome,longo,descr,codf,bd,palavras,habilitado,lote,rep,vln,dia,freq,dex,inserido,alterado,created_at,updated_at
1,D_SuEq_NN_BR,Açúcar,"Raw Sugar",Nordeste,Success,2,50,3,T,,3,10,,,1974,PREQ000130,"Sugar FOB Eq NNE","DATAGRO Daily Sugar FOB Price Equivalency USD cents/lb Region North Northeast Brazil","DATAGRO Daily Sugar FOB Price Equivalency USD cents/lb Region North Northeast Brazil",D_SuEq_NN_BR,,,1,,3,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:16:30.000000Z
2,D_SuEq_Rp_BR,Açúcar,"Raw Sugar","Ribeirão Preto",Success,2,50,3,T,,3,10,,,1974,PREQ000127,"Sugar FOB Eq Rib Preto","DATAGRO Daily Sugar FOB Price Equivalency USD cents/lb Ribeirao Preto Region Center South Sao Paulo Brazil","DATAGRO Daily Sugar FOB Price Equivalency USD cents/lb Ribeirao Preto Region Center South Sao Paulo Brazil",D_SuEq_Rp_BR,,,1,,3,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:17:02.000000Z
3,D_SuLnEx_Sa_BR,Açúcar,,Santos,Failed,2,50,24,T,,2,10,,,999,PRPEX010007,"Sugar Cane Accumulated Parana","DATAGRO Weekly Sugar FOB LQW Color Max 45 Price Exports Container USD/MT Santos Region Center South Sao Paulo Brazil","DATAGRO Weekly Sugar FOB LQW Color Max 45 Price Exports Container USD/MT Santos Region Center South Sao Paulo Brazil",,,,1,,,,0,D,,"2021-06-30 14:35:44","2021-06-30 14:35:44",,2023-11-23T21:00:21.000000Z
4,D_SuLxEx_Sa_BR,Açúcar,"LQW Color Max 150",Santos,Success,2,50,3,T,,2,10,,,2352,PRPEX010008,"Sugar FOB LQW Exports Santos","DATAGRO Weekly Sugar FOB LQW Color Max 150 Price Exports Container USD/MT Santos Region Center South Sao Paulo Brazil","DATAGRO Weekly Sugar FOB LQW Color Max 150 Price Exports Container USD/MT Santos Region Center South Sao Paulo Brazil",D_SuLxEx_Sa_BR,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:30:56.000000Z
5,D_SuOgEx_Sa_BR,Açúcar,"Organic Sugar",Santos,Success,2,50,3,T,,2,10,,,2028,PRPEX010009,"Sugar FOB Organic Exports Santos","DATAGRO Weekly Sugar FOB Organic Price Exports Container USD/MT Santos Region Center South Sao Paulo Brazil","DATAGRO Weekly Sugar FOB Organic Price Exports Container USD/MT Santos Region Center South Sao Paulo Brazil",D_SuOgEx_Sa_BR,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:30:56.000000Z
6,D_SuPr_NN_BR,Açúcar,"Raw Sugar",Nordeste,Success,2,50,3,T,,2,10,,,1974,PRPR000135,"Sugar 50kg NNE","DATAGRO Daily Sugar Price BRL/Bg 50kg Region North Northeast Brazil","DATAGRO Daily Sugar Price BRL/Bg 50kg Region North Northeast Brazil",D_SuPr_NN_BR,,,1,,6,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:34:41",,2023-11-23T18:31:00.000000Z
7,D_SuPr_NN_BR_1,Açúcar,,Nordeste,Success,2,50,,T,,2,10,,,999,PRPR019624,"Sugar BRL/Bg Without NNE","DATAGRO Daily Sugar Price BRL/Bg 50kg Without Taxes Region North Northeast Brazil","DATAGRO Daily Sugar Price BRL/Bg 50kg Without Taxes Region North Northeast Brazil",D_SuPr_NN_BR_1,,,1,0,6,0,1,D,,"2020-09-18 22:17:39","2022-05-18 23:34:41",,2023-11-23T18:31:03.000000Z
8,D_SuPr_Sp_BR,Açúcar,,"São Paulo",Success,2,50,,T,,2,10,,,2218,PRPR019617,"Sugar BRL/Bg SP","DATAGRO Daily Sugar Price BRL/Bg 50kg Sao Paulo Brazil","DATAGRO Daily Sugar Price BRL/Bg 50kg Sao Paulo Brazil",D_SuPr_Sp_BR,,,1,0,6,0,1,D,,"2020-09-18 22:17:39","2022-05-18 23:34:41",,2023-11-23T18:31:05.000000Z
9,D_SuRaPr_Ko_TH,Açúcar,"Raw Sugar",Tailândia,Success,2,50,3,T,,2,10,,,1974,PRPR006107,"Sugar FOB Raw Kosichang Thailand","DATAGRO Daily Sugar FOB Raw Price USD cents/lb Kosichang Thailand","DATAGRO Daily Sugar FOB Raw Price USD cents/lb Kosichang Thailand",D_SuRaPr_Ko_TH,,,1,,3,,0,D,,"2020-02-19 20:27:38","2022-05-18 23:31:26",,2023-11-23T18:31:10.000000Z
10,D_SuVhEx_Sa_BR,Açúcar,VHP,Santos,Success,2,50,3,T,,2,10,,,2025,PRPEX010000,"Sugar FCA VHP Exports Santos","DATAGRO Weekly Sugar FCA VHP Price Exports Bulk USD/MT Santos Region Center South Sao Paulo Brazil","DATAGRO Weekly Sugar FCA VHP Price Exports Bulk USD/MT Santos Region Center South Sao Paulo Brazil",D_SuVhEx_Sa_BR,,,1,,0,,0,D,,"2020-02-19 20:27:38","2020-04-22 21:23:43",,2023-11-23T18:31:10.000000Z
